battle_turn,opponent_pokemon,opponent_type,move_used,move_type,move_category,weather_condition,pikachu_status,terrain_type,held_item,pikachu_ability,opponent_level,pikachu_level,move_power,attack_stat,defense_stat,sp_attack_stat,sp_defense_stat,speed_stat_pikachu,speed_stat_opponent,attack_stage,defense_stage,speed_stage,type_effectiveness,critical_hit,move_hit,friendship_level,experience_points,healing_applied,damage_dealt,previous_hp,max_hp,pikachu_hp,round,turn,trainer_focus_score
Round 320 - Turn 16:00,Alakazam,Psychic,Volt Tackle,Electric,Physical,Electric Terrain,,,Assault Vest,Static,37,38,120,55,34,52,50,77,67,0,-1,-2,1,0,1,104,2824,0,150,74,74,27,320,16,45.1
Round 320 - Turn 17:00,Onix,Rock,Thunder,Electric,Special,Clear,,Grassy Terrain,Light Ball,Static,48,38,110,55,55,50,53,70,85,0,-2,1,0.5,0,1,193,2437,0,50,74,74,34,320,17,61
Round 320 - Turn 18:00,Blastoise,Water,Thunderbolt,Electric,Special,Electric Terrain,,,Light Ball,Static,40,38,90,,37,43,53,71,91,0,-2,0,2,0,1,199,1936,0,140,22,74,0,320,18,15.9
Round 320 - Turn 19:00,Alakazam,Psychic,Agility,Electric,Status,Hail,Paralyzed,,,Static,38,38,0,46,41,47,39,82,99,-1,0,1,1,0,1,,2537,0,0,74,74,69,320,19,82.2
Round 320 - Turn 20:00,Blastoise,Water,Agility,Electric,Status,Electric Terrain,,,Focus Sash,Static,48,38,0,46,46,42,63,73,76,0,0,0,1,0,1,147,3641,0,0,74,74,72,320,20,89.5
Round 320 - Turn 21:00,,Rock,Quick Attack,Electric,Physical,Sun,,Misty Terrain,Focus Sash,Static,38,38,40,48,34,47,53,75,80,0,0,-1,0.5,0,1,174,2946,0,15,74,74,49,320,21,67.2
Round 320 - Turn 22:00,Machamp,Fighting,Volt Tackle,Electric,Physical,Rain,,,Light Ball,Static,35,38,120,53,47,46,52,68,,0,-1,-1,1,0,1,137,2651,,95,60,74,0,320,22,23.6
Round 320 - Turn 23:00,Lapras,Water,Agility,Electric,Status,Clear,,,Light Ball,Static,38,38,0,42,39,39,49,82,71,0,0,0,1,0,1,118,3950,0,0,74,74,56,320,23,85.9
Round 321 - Turn 00:00,Blastoise,Water,Nuzzle,Normal,Physical,Clear,,,,Lightning Rod,32,30,20,40,31,39,48,62,58,0,0,,2,1,1,106,1738,0,25,28,61,6,321,0,31.1
Round 321 - Turn 01:00,Charizard,Fire,Volt Tackle,Electric,Physical,Hail,,Electric Terrain,Light Ball,Lightning Rod,23,30,120,40,32,39,,64,68,1,0,0,1,0,1,144,2619,0,125,3,61,0,321,1,26.2
Round 321 - Turn 02:00,Golem,Rock,Volt Tackle,Electric,Physical,Rain,,,Sitrus Berry,Static,34,30,120,36,35,34,37,63,61,0,0,1,0.5,0,1,180,2360,0,25,61,61,30,321,2,60.9
Round 321 - Turn 03:00,Onix,Rock,Iron Tail,Electric,Physical,Electric Terrain,Burned,,Light Ball,Static,31,30,100,33,24,35,35,55,66,0,-1,-1,0.5,0,1,118,3047,0,20,36,61,10,321,3,28.8
Round 321 - Turn 04:00,Blastoise,Water,Thunderbolt,Electric,Special,Electric Terrain,,,Light Ball,Static,32,30,90,42,33,37,43,,77,1,1,0,2,0,1,172,4058,0,60,17,61,0,321,4,13.4
Round 321 - Turn 05:00,Machamp,Fighting,Quick Attack,Electric,Physical,Electric Terrain,,Grassy Terrain,,Static,25,,40,39,38,41,30,65,48,0,0,,1,0,1,195,1957,0,20,61,61,16,321,5,43.4
Round 321 - Turn 06:00,Rhydon,Rock,Iron Tail,Electric,Physical,Sun,,Grassy Terrain,Light Ball,Static,31,30,100,37,27,33,37,65,95,-2,0,2,0.5,0,1,113,2096,0,15,42,61,16,321,6,27.4
Round 321 - Turn 07:00,Blastoise,Water,Electro Ball,Electric,Special,Sun,,,Light Ball,Static,27,30,80,39,38,36,30,60,30,0,0,-1,2,0,1,131,2430,0,75,28,61,7,321,7,28.3
Round 321 - Turn 08:00,Lapras,Water,Nuzzle,Normal,Physical,Rain,,,,Static,30,30,20,41,30,32,43,55,45,-1,0,1,2,0,1,95,2944,0,10,61,61,40,321,8,62.5
Round 321 - Turn 09:00,Skarmory,Steel,Thunderbolt,Electric,Special,Clear,,,Light Ball,Static,32,30,90,39,42,35,46,55,60,-1,-1,-1,1,0,1,137,2979,0,30,49,61,0,321,9,16.5
Round 321 - Turn 10:00,Charizard,Fire,Electro Ball,Electric,Special,Electric Terrain,,,Light Ball,Static,20,30,80,44,33,36,26,68,35,1,0,1,,0,1,124,682,0,70,21,61,0,321,10,7.2
Round 321 - Turn 11:00,Gengar,Ghost,Iron Tail,Electric,Physical,Sandstorm,,Misty Terrain,,Static,29,30,100,36,24,32,45,63,68,0,0,0,1,0,1,184,2328,0,65,61,61,4,321,11,35
Round 321 - Turn 12:00,Onix,Rock,Thunderbolt,Electric,Special,Electric Terrain,,,Sitrus Berry,Static,32,30,90,33,39,40,50,68,55,,-1,0,0.5,0,1,85,1358,0,25,61,61,0,321,12,7.3
Round 321 - Turn 13:00,Dragonite,Dragon,Quick Attack,Electric,Physical,Clear,Burned,,Assault Vest,Lightning Rod,27,30,40,35,38,41,27,67,75,0,0,0,0.5,1,1,96,2125,0,5,38,61,38,321,13,59.9
Round 321 - Turn 14:00,Dragonite,Dragon,Thunderbolt,Electric,Special,Clear,,Electric Terrain,Assault Vest,Lightning Rod,24,30,90,34,25,34,31,59,37,-1,0,0,0.5,0,1,128,3761,0,20,32,61,0,321,14,17.3
Round 321 - Turn 15:00,Venusaur,Grass,Thunderbolt,Electric,Special,Clear,,Electric Terrain,Assault Vest,Static,29,30,90,33,36,37,30,62,21,-1,0,-1,0.5,0,1,127,1639,,20,14,,0,321,15,18.6
Round 321 - Turn 16:00,Alakazam,Psychic,,Electric,Physical,Rain,,,Sitrus Berry,Static,,30,40,38,28,32,39,61,55,0,0,0,1,0,1,158,2573,0,20,61,61,38,321,16,66.4
Round 321 - Turn 17:00,Vaporeon,Water,Nuzzle,Normal,Physical,Clear,,,Assault Vest,Static,,30,20,36,38,31,46,66,97,2,0,-1,2,0,1,130,540,0,25,39,61,50,321,17,77.5
Round 321 - Turn 18:00,Lapras,Water,Iron Tail,Electric,Physical,Clear,,,Light Ball,Static,27,30,100,44,25,41,40,59,41,1,,0,2,0,1,122,0,0,205,16,61,61,321,18,95.3
Round 321 - Turn 19:00,Steelix,Steel,Nuzzle,Normal,Physical,Clear,,Misty Terrain,Sitrus Berry,Static,25,30,20,47,32,36,38,56,61,0,-1,-1,1,0,1,174,1443,0,5,61,61,61,321,19,88.9
Round 321 - Turn 20:00,Alakazam,Psychic,Thunder,,Special,Clear,,,,Static,36,30,110,35,30,37,,65,21,-2,-1,0,1,0,1,143,1655,0,25,55,61,41,321,20,70.2
Round 321 - Turn 21:00,Charizard,Fire,Thunderbolt,Electric,Special,Clear,,Electric Terrain,Assault Vest,Static,30,30,90,40,37,35,36,66,66,-1,0,1,1,0,1,72,1842,0,35,32,61,0,321,21,16
Round 321 - Turn 22:00,Machamp,Fighting,Thunderbolt,Electric,Special,Sun,Paralyzed,,Sitrus Berry,Static,34,30,90,40,46,42,,66,66,-2,0,1,1,0,1,114,4659,0,20,61,61,36,321,22,58.6
Round 321 - Turn 23:00,Machamp,Fighting,Volt Tackle,Electric,Physical,Clear,,,Sitrus Berry,Static,31,30,120,37,42,44,35,67,84,-1,2,0,1,0,1,177,2634,0,15,42,61,0,321,23,17.1
Round 322 - Turn 00:00,Venusaur,Grass,Electro Ball,Electric,Special,Clear,,Electric Terrain,Light Ball,Static,19,26,80,39,31,39,31,59,64,2,-1,0,0.5,0,1,136,1691,0,70,29,54,0,322,0,9.7
Round 322 - Turn 01:00,Charizard,Fire,Thunderbolt,Electric,Special,Clear,,Grassy Terrain,Light Ball,Static,22,26,90,38,21,32,29,50,92,0,0,1,1,0,1,230,2429,24,40,54,54,43,322,1,76.5
Round 322 - Turn 02:00,Dragonite,Dragon,Thunderbolt,Electric,Special,Sandstorm,,Grassy Terrain,Light Ball,Static,34,26,90,29,43,35,53,58,50,0,-1,1,0.5,0,0,,2763,0,0,,54,38,322,2,67.6
Round 322 - Turn 03:00,Dragonite,Dragon,Thunder,Electric,Special,Clear,Burned,Electric Terrain,Assault Vest,Lightning Rod,24,26,110,41,32,33,43,57,54,0,-1,0,0.5,0,1,175,3424,0,30,39,54,33,322,3,62.8
Round 322 - Turn 04:00,Charizard,Fire,Quick Attack,Electric,Physical,Clear,,,Assault Vest,Lightning Rod,23,26,40,42,,39,30,60,55,0,1,0,1,0,1,93,1827,0,15,8,54,0,322,4,2.7
Round 322 - Turn 05:00,Blastoise,Water,Volt Tackle,Electric,Physical,Sandstorm,,,,Static,29,26,120,32,40,36,38,50,31,0,0,2,2,0,1,145,0,0,70,54,54,6,322,5,27.3
Round 322 - Turn 06:00,Lapras,Water,Electro Ball,Electric,Special,Clear,Burned,,,,26,26,80,34,39,31,34,53,58,1,1,1,2,1,1,74,1968,0,85,54,,0,322,6,12.1
Round 322 - Turn 07:00,Skarmory,Steel,Electro Ball,Electric,Special,Rain,Paralyzed,,Sitrus Berry,Lightning Rod,21,26,80,30,21,40,24,47,68,-1,-1,-1,1,0,1,184,,0,50,54,54,3,322,7,10.5
Round 322 - Turn 08:00,Charizard,Fire,Thunderbolt,Electric,Special,Clear,Burned,,Sitrus Berry,Static,17,26,90,,16,,24,54,74,-1,0,0,1,0,1,192,610,0,25,,54,0,322,8,16.8
Round 322 - Turn 09:00,Machamp,Fighting,Iron Tail,Electric,Physical,Clear,Paralyzed,,,Static,24,26,100,38,20,27,32,56,54,0,0,2,1,0,1,123,2260,0,60,54,54,0,322,9,5.2
Round 322 - Turn 10:00,Skarmory,Steel,Thunder,Electric,Special,Rain,Paralyzed,,Sitrus Berry,Lightning Rod,30,26,110,37,,27,32,57,80,1,0,1,,0,1,145,1817,0,45,54,54,14,322,10,26.1
Round 322 - Turn 11:00,Charizard,Fire,Agility,Electric,Status,Clear,,,,Lightning Rod,26,26,0,32,29,27,34,50,78,-1,0,0,1,0,1,169,3722,0,0,8,54,13,322,11,34.4
Round 322 - Turn 12:00,Blastoise,Water,Nuzzle,,Physical,Clear,Paralyzed,Misty Terrain,,Static,23,26,20,,31,27,33,46,79,1,-2,1,2,0,1,152,1488,0,35,8,54,2,322,12,8.5
Round 322 - Turn 13:00,Golem,Rock,Nuzzle,Normal,Physical,Sandstorm,,Grassy Terrain,Light Ball,Static,26,26,20,28,24,29,43,53,32,0,-2,1,0.5,0,,110,3378,0,5,54,54,54,322,13,96.5
Round 322 - Turn 14:00,Charizard,Fire,,Normal,Physical,Rain,,,Sitrus Berry,Static,20,26,20,38,31,29,31,52,71,-2,0,0,1,0,1,171,4288,0,5,48,54,49,322,14,89.3
Round 322 - Turn 15:00,Gengar,Ghost,Iron Tail,Electric,,Clear,,,Focus Sash,Static,20,26,100,39,,33,21,59,89,2,0,-2,1,0,1,134,872,0,,44,54,0,322,15,10.1
Round 322 - Turn 16:00,Dragonite,Dragon,Iron Tail,Electric,Physical,Electric Terrain,,,,Static,32,26,,29,26,28,32,53,37,-1,1,1,0.5,1,1,169,387,0,15,54,54,32,322,16,75.2
Round 322 - Turn 17:00,Blastoise,Water,Thunder,Electric,Special,Rain,,,Light Ball,Static,34,26,110,29,38,28,41,54,45,0,0,1,2,0,1,45,1352,0,60,40,54,0,322,17,17.2
Round 322 - Turn 18:00,Gengar,Ghost,Thunderbolt,Electric,Special,Clear,,,Assault Vest,Static,31,26,90,33,27,33,44,51,54,0,,0,1,0,1,158,2722,0,25,54,54,19,322,18,48.7
Round 322 - Turn 19:00,Venusaur,Grass,Agility,Electric,Status,Hail,,,Assault Vest,Static,37,26,0,33,44,28,43,55,47,0,,-1,1,0,1,208,2742,0,0,27,54,46,322,19,80.5
Round 322 - Turn 20:00,Machamp,Fighting,Agility,Electric,Status,Electric Terrain,,,Focus Sash,Lightning Rod,25,26,0,41,24,31,27,55,23,0,0,0,1,0,1,74,1624,0,0,27,54,30,322,20,49.7
Round 322 - Turn 21:00,Onix,Rock,Thunderbolt,Electric,Special,Clear,,,Sitrus Berry,Static,28,26,90,28,33,36,44,50,43,2,-2,1,0.5,0,1,124,2798,18,55,27,54,0,322,21,22.3
Round 322 - Turn 22:00,,Rock,Thunder,Electric,Special,Rain,Burned,Electric Terrain,,Static,26,26,110,33,24,26,40,47,10,0,1,0,0.5,0,1,235,1196,0,10,54,54,42,322,22,76.3
Round 322 - Turn 23:00,Dragonite,Dragon,Nuzzle,Normal,Physical,Rain,,,Light Ball,Static,21,26,20,36,26,32,32,54,52,1,2,0,0.5,0,1,199,1663,,5,43,54,29,322,23,51.1
Round 323 - Turn 00:00,Dragonite,Dragon,Thunderbolt,Electric,Special,Clear,,Electric Terrain,Light Ball,Static,35,35,90,44,43,44,38,69,72,0,0,1,0.5,,1,161,3228,,,36,69,3,323,0,20
Round 323 - Turn 01:00,Machamp,Fighting,Agility,Electric,Status,Rain,,Grassy Terrain,Focus Sash,Static,27,35,0,43,40,42,37,75,100,0,0,1,1,0,1,214,2929,0,0,3,69,16,323,1,37
Round 323 - Turn 02:00,Charizard,,,Electric,Special,Clear,,,Assault Vest,Static,32,35,90,49,37,43,41,71,103,0,0,0,1,0,,145,3884,0,40,3,69,0,323,2,26.6
Round 323 - Turn 03:00,Snorlax,Normal,Thunder,Electric,Special,Clear,,,Light Ball,Static,35,35,110,40,28,41,54,69,95,1,0,0,1,0,0,255,3038,0,0,69,69,69,323,3,86.3
Round 323 - Turn 04:00,Blastoise,Water,Agility,Electric,Status,Clear,,,Assault Vest,Static,33,35,0,39,27,46,45,74,98,0,1,2,1,0,1,89,796,0,0,69,69,69,323,4,92.6
Round 323 - Turn 05:00,Machamp,Fighting,Quick Attack,Electric,Physical,Sun,Paralyzed,,Light Ball,Static,40,35,40,38,46,36,40,66,89,-2,0,0,1,0,1,112,1259,0,10,69,69,66,323,5,100
Round 323 - Turn 06:00,Golem,Rock,Thunder,Electric,Special,Clear,,,,Lightning Rod,33,35,110,51,41,39,50,68,59,0,0,0,0.5,0,1,220,1674,0,20,60,69,49,323,6,68.5
Round 323 - Turn 07:00,Dragonite,Dragon,Thunderbolt,Electric,Special,,Burned,Misty Terrain,,Static,29,35,90,49,25,38,43,69,92,1,0,-1,0.5,0,1,194,5915,0,30,38,69,61,323,7,100
Round 323 - Turn 08:00,Charizard,Fire,Agility,Electric,Status,Clear,,,Light Ball,Static,35,35,0,38,31,36,49,63,88,2,0,0,1,0,1,197,3983,0,0,10,69,19,323,8,33.3
Round 323 - Turn 09:00,Rhydon,Rock,Thunder,Electric,Special,Rain,,Grassy Terrain,Sitrus Berry,Static,34,35,110,45,34,41,48,65,35,1,-2,0,0.5,0,1,161,3050,0,65,10,69,0,323,9,2.6
Round 323 - Turn 10:00,Alakazam,Psychic,Electro Ball,Electric,Special,Clear,,Misty Terrain,,Static,25,35,80,45,33,42,34,65,80,0,0,2,1,0,1,129,3652,0,45,69,69,31,323,10,40.8
Round 323 - Turn 11:00,Dragonite,Dragon,Thunder,Electric,Special,Clear,,,Light Ball,Static,27,,110,43,21,37,33,73,,1,0,,0.5,0,1,66,3799,0,40,25,69,41,323,11,73.6
Round 323 - Turn 12:00,Onix,Rock,Quick Attack,Electric,Physical,Clear,,,Light Ball,Static,35,35,40,45,44,43,35,71,88,-1,1,1,0.5,0,1,154,940,0,5,69,69,69,323,12,97.3
Round 323 - Turn 13:00,Steelix,,Thunder,Electric,Special,Clear,,Electric Terrain,,Static,35,35,110,50,38,42,53,75,71,1,-2,0,1,0,0,195,796,0,0,64,69,69,323,13,100
Round 323 - Turn 14:00,Venusaur,Grass,Thunderbolt,Electric,Special,Hail,,Electric Terrain,,Static,39,35,90,45,45,35,,66,35,0,0,1,0.5,,1,81,3614,0,,64,69,69,323,14,92.5
Round 323 - Turn 15:00,Steelix,Steel,Thunder,Electric,Special,Sun,Paralyzed,Grassy Terrain,,Static,38,35,110,39,33,48,,75,73,0,0,1,1,0,1,66,774,0,60,47,69,33,323,15,46.9
Round 323 - Turn 16:00,Blastoise,Water,Agility,Electric,Status,Rain,,,Assault Vest,Static,38,35,0,46,33,43,45,72,65,0,0,-1,1,0,1,166,2477,0,0,69,69,69,323,16,91.6
Round 323 - Turn 17:00,Alakazam,Psychic,Thunderbolt,Electric,Special,Clear,,,Focus Sash,Static,,,90,42,42,,44,,82,-1,1,0,1,0,1,105,3761,0,20,69,69,50,323,17,59
Round 323 - Turn 18:00,Machamp,Fighting,Agility,Electric,Status,Hail,,,Light Ball,Static,29,35,0,51,28,47,29,72,71,1,-1,0,1,0,1,202,2170,0,0,51,69,52,323,18,61
Round 323 - Turn 19:00,Machamp,Fighting,Iron Tail,Electric,Physical,Clear,,,Assault Vest,Static,32,35,100,49,27,39,39,65,41,,1,0,1,0,1,239,1754,17,60,51,69,33,323,19,60.1
Round 323 - Turn 20:00,Skarmory,Steel,Electro Ball,Electric,Special,Rain,,,,Lightning Rod,34,35,80,48,30,44,41,68,75,-1,0,1,1,0,1,150,0,0,25,8,69,14,323,20,27.3
Round 323 - Turn 21:00,Steelix,Steel,Thunderbolt,Electric,Special,Hail,,,Sitrus Berry,Static,28,35,90,48,30,43,30,73,95,2,0,2,1,0,1,144,2176,0,110,69,69,0,323,21,10.4
Round 323 - Turn 22:00,Onix,Rock,Quick Attack,Electric,,Rain,,Grassy Terrain,,Static,17,35,40,40,14,36,35,72,46,0,,0,0.5,0,1,113,2351,0,40,69,69,34,323,22,48.4
Round 323 - Turn 23:00,Snorlax,Normal,Volt Tackle,Electric,Physical,,,,,Static,31,,120,45,,35,45,69,61,0,0,0,1,,1,196,1994,0,90,27,69,47,323,23,77.6
Round 324 - Turn 00:00,Venusaur,Grass,Thunderbolt,Electric,Special,Sandstorm,,,Assault Vest,Static,46,41,90,50,38,41,62,75,68,0,-1,,0.5,1,1,142,1881,38,35,30,79,36,324,0,45.1
Round 324 - Turn 01:00,Alakazam,Psychic,Electro Ball,Electric,Special,Clear,,Misty Terrain,Light Ball,Static,47,41,80,56,,42,54,79,84,0,2,0,1,0,1,129,1343,0,20,32,79,25,324,1,45.1
Round 324 - Turn 02:00,Lapras,Water,Thunder,Electric,Special,Electric Terrain,,,Assault Vest,Lightning Rod,29,41,110,57,37,52,29,82,94,0,0,0,2,0,1,236,2166,0,190,12,79,30,324,2,40.6
Round 324 - Turn 03:00,,Fire,Electro Ball,Electric,Special,Clear,,,Assault Vest,Static,38,41,80,55,34,50,47,78,75,0,0,0,1,0,1,178,3442,0,50,79,,51,324,3,84.6
Round 324 - Turn 04:00,Vaporeon,Water,Thunderbolt,Electric,Special,Clear,,,,Static,44,41,90,58,47,47,50,86,95,0,0,0,2,0,1,58,5030,0,100,31,79,14,324,4,33.3
Round 324 - Turn 05:00,,Water,Thunder,Electric,Special,Electric Terrain,,Electric Terrain,Light Ball,Static,40,41,110,58,44,43,52,81,89,-1,0,2,2,1,1,129,951,0,125,79,79,36,324,5,43.4
Round 324 - Turn 06:00,Blastoise,Water,Quick Attack,Electric,Physical,Clear,,,Sitrus Berry,Static,39,41,40,,50,53,39,77,42,0,0,1,2,0,1,110,2730,0,50,79,79,42,324,6,54.7
Round 324 - Turn 07:00,Blastoise,Water,Nuzzle,Normal,Physical,Clear,,Misty Terrain,Light Ball,Static,31,41,20,,36,49,43,85,93,,1,0,2,0,0,180,3930,0,0,30,79,35,324,7,43.9
Round 324 - Turn 08:00,Venusaur,Grass,Agility,Electric,Status,Clear,,,Light Ball,Static,45,41,0,45,43,47,45,84,75,0,0,,1,0,1,104,1863,0,0,30,,11,324,8,27.9
Round 324 - Turn 09:00,Gengar,Ghost,Thunder,Electric,Special,Electric Terrain,,,,Static,39,41,,55,47,53,57,80,79,0,1,1,1,0,1,63,4168,0,40,30,79,0,324,9,15.6
Round 324 - Turn 10:00,Snorlax,Normal,Thunderbolt,Electric,Special,Clear,,,,Lightning Rod,46,41,90,57,48,42,64,74,101,-2,0,,1,0,1,121,4155,0,15,79,79,41,324,10,58.4
Round 324 - Turn 11:00,Venusaur,Grass,Agility,Electric,Status,Rain,,,,Static,46,41,0,59,49,49,65,84,84,-2,0,1,1,0,1,253,2314,0,0,63,79,46,324,11,64.5
Round 324 - Turn 12:00,Skarmory,Steel,Quick Attack,Electric,Physical,Clear,,Electric Terrain,,Static,43,41,40,45,36,49,58,77,55,-1,0,0,1,0,1,65,3220,0,25,63,79,44,324,12,56
Round 324 - Turn 13:00,Blastoise,Water,Thunder,Electric,Special,Clear,,Misty Terrain,,Static,,41,110,,40,41,,75,91,0,1,0,2,0,1,50,2801,0,55,39,79,0,324,13,10
Round 324 - Turn 14:00,Dragonite,Dragon,Electro Ball,Electric,Special,Clear,,,Light Ball,Static,39,41,80,47,50,54,51,78,46,0,0,-1,0.5,1,1,21,,0,35,79,79,38,324,14,53.6
Round 324 - Turn 15:00,Lapras,Water,Quick Attack,Electric,Physical,Hail,,,Assault Vest,Static,30,41,40,49,35,53,31,85,112,1,1,-2,2,0,1,178,,0,65,44,79,0,324,15,11.1
Round 324 - Turn 16:00,Dragonite,Dragon,Electro Ball,Electric,,Rain,,,Assault Vest,Static,43,41,80,49,50,47,48,78,23,1,0,0,0.5,1,1,225,1789,0,45,79,79,41,324,16,51.1
Round 324 - Turn 17:00,Charizard,Fire,Quick Attack,Electric,Physical,Electric Terrain,,Misty Terrain,Sitrus Berry,Static,43,,,54,46,43,50,75,67,0,2,1,1,0,1,60,2173,0,15,33,79,29,324,17,51.3
Round 324 - Turn 18:00,Gengar,Ghost,Quick Attack,Electric,Physical,Hail,,,Sitrus Berry,Static,38,41,40,47,33,55,53,84,69,1,0,1,1,0,1,93,2067,0,50,18,79,0,324,18,20.4
Round 324 - Turn 19:00,Machamp,Fighting,Thunderbolt,Electric,Special,Clear,,,Assault Vest,Static,49,41,90,45,56,50,63,86,78,0,2,1,1,0,1,202,1216,0,,79,79,63,324,19,80.4
Round 324 - Turn 20:00,Charizard,Fire,Electro Ball,Electric,Special,Clear,,,Light Ball,Static,34,41,80,46,30,,,,70,-1,0,0,1,0,1,187,1695,0,35,59,,38,324,20,63.5
Round 324 - Turn 21:00,Blastoise,Water,Quick Attack,Electric,Physical,Clear,,,Light Ball,Lightning Rod,43,41,40,58,42,54,52,83,132,0,0,0,2,0,1,109,2954,0,65,23,79,0,324,21,11.8
Round 324 - Turn 22:00,Onix,Rock,Iron Tail,Electric,Physical,Electric Terrain,,,,Static,45,41,100,58,43,44,51,73,107,2,0,-2,0.5,0,1,137,2784,30,75,,79,65,324,22,78.5
Round 324 - Turn 23:00,Gyarados,Water,Quick Attack,Electric,Physical,Electric Terrain,,,,Lightning Rod,37,41,40,57,35,42,56,85,76,-1,-1,-2,2,,1,142,3609,0,70,34,79,8,324,23,20.8
Round 325 - Turn 00:00,Dragonite,,Agility,Electric,Status,Clear,,Electric Terrain,,Static,33,42,0,58,43,50,33,83,78,0,-2,-2,1,,1,138,2648,0,0,81,81,81,325,0,85.9
Round 325 - Turn 01:00,Charizard,Fire,Nuzzle,Normal,,Clear,,,Focus Sash,Static,42,42,20,53,46,46,49,81,87,-1,0,0,1,0,0,180,4470,0,0,81,81,81,325,1,93.5
Round 325 - Turn 02:00,Dragonite,Dragon,Iron Tail,Electric,Physical,Sun,,,Sitrus Berry,Static,43,42,100,58,36,56,43,87,64,-1,-2,-1,0.5,0,1,100,2161,0,60,81,81,7,325,2,24
Round 325 - Turn 03:00,Venusaur,Grass,Agility,Electric,,Clear,Paralyzed,Misty Terrain,Sitrus Berry,Static,48,42,0,46,40,46,60,85,89,0,0,-1,,0,1,145,815,0,0,22,81,39,325,3,56
Round 325 - Turn 04:00,Charizard,Fire,Iron Tail,Electric,Physical,Sandstorm,Paralyzed,,Sitrus Berry,Static,40,,100,51,51,53,52,83,96,0,-2,0,1,0,1,110,2852,0,100,22,81,0,325,4,2.3
Round 325 - Turn 05:00,Onix,Rock,Thunder,Electric,Special,Clear,,,Sitrus Berry,Static,49,42,110,55,51,50,65,77,114,2,0,0,0.5,0,1,176,2529,0,45,81,81,54,325,5,72.9
Round 325 - Turn 06:00,Charizard,Fire,Electro Ball,Electric,Special,Rain,,,Sitrus Berry,Static,45,42,80,60,51,45,58,88,103,-1,0,-1,1,0,1,5,3978,0,25,34,81,0,325,6,15.8
Round 325 - Turn 07:00,Onix,Rock,Nuzzle,Normal,Physical,Clear,,,Light Ball,Static,44,42,20,,45,56,49,82,80,2,-1,0,0.5,0,1,138,3242,0,15,9,81,0,325,7,5
Round 325 - Turn 08:00,Alakazam,Psychic,Electro Ball,Electric,Special,Clear,,,Sitrus Berry,Static,34,42,80,48,44,42,38,87,110,1,0,0,1,0,1,153,2068,0,70,81,,25,325,8,43.1
Round 325 - Turn 09:00,Rhydon,Rock,Volt Tackle,Electric,Physical,Electric Terrain,Burned,,Light Ball,Lightning Rod,42,42,120,60,44,48,42,85,87,2,1,1,0.5,0,,1,2775,0,25,12,81,13,325,9,22.3
Round 325 - Turn 10:00,Venusaur,Grass,Agility,Electric,Status,,,,Light Ball,Static,47,42,0,59,53,54,56,78,72,-1,0,0,1,0,1,141,3112,0,0,81,81,81,325,10,95.4
Round 325 - Turn 11:00,Gengar,Ghost,Thunderbolt,Electric,Special,Clear,,,,Static,39,,90,53,31,47,58,77,69,0,0,0,1,0,1,104,4461,39,45,81,81,81,325,11,82
Round 325 - Turn 12:00,Charizard,Fire,Electro Ball,Electric,Special,Clear,,Grassy Terrain,Light Ball,Lightning Rod,39,42,80,55,43,46,43,80,46,-2,0,2,1,0,1,126,1531,0,25,77,81,60,325,12,80.2
Round 325 - Turn 13:00,Blastoise,Water,Agility,Electric,Status,Sun,Paralyzed,,Focus Sash,Static,35,42,0,56,29,46,52,75,95,0,1,0,1,,1,153,3839,0,0,52,81,55,325,13,65.2
Round 325 - Turn 14:00,Alakazam,Psychic,Thunderbolt,Electric,Special,Rain,,Grassy Terrain,Focus Sash,Static,43,42,90,55,47,52,46,84,54,0,0,0,1,0,1,43,3338,0,60,52,,0,325,14,15.6
Round 325 - Turn 15:00,Venusaur,Grass,Electro Ball,,Special,Sandstorm,,,,Static,47,42,80,46,51,51,47,86,101,0,1,0,0.5,,0,129,2597,0,0,81,81,75,325,15,82.9
Round 325 - Turn 16:00,Lapras,Water,Nuzzle,Normal,Physical,Clear,,,Assault Vest,Static,,42,20,47,39,54,48,85,109,0,0,0,2,0,1,114,2670,0,20,81,81,62,325,16,71.7
Round 325 - Turn 17:00,Lapras,Water,Volt Tackle,Electric,Physical,Rain,,,Sitrus Berry,Lightning Rod,41,42,120,55,34,48,48,79,68,2,0,0,2,,1,139,1007,0,415,60,81,0,325,17,10.2
Round 325 - Turn 18:00,Gengar,Ghost,Nuzzle,Normal,Physical,Clear,,Grassy Terrain,Focus Sash,Lightning Rod,44,42,20,50,52,56,57,87,82,0,2,-1,1,0,1,130,3223,0,5,81,81,69,325,18,83.8
Round 325 - Turn 19:00,Charizard,Fire,Volt Tackle,Electric,Physical,Clear,Paralyzed,,Sitrus Berry,Static,42,42,120,49,52,45,43,83,76,1,,-2,1,0,1,162,3609,0,55,77,81,10,325,19,30.3
Round 325 - Turn 20:00,Lapras,Water,Agility,Electric,Status,Hail,,,,Static,37,42,0,49,42,53,47,84,90,0,2,0,1,,1,111,1677,0,0,20,81,17,325,20,36.2
Round 325 - Turn 21:00,Snorlax,Normal,Thunderbolt,Electric,Special,Clear,,,,Static,42,42,90,59,37,51,54,79,48,0,0,,1,0,1,,1540,0,45,20,81,0,325,21,19
